0	-0.00965815	0.0379411	-0.0139586	
1	-0.567258	0.205314	-0.0912426	
2	-0.831484	0.14202	-0.0736658	
3	-0.934464	0.121214	-0.0647218	
4	-0.971482	0.107423	-0.0631558	
5	-0.987289	0.0991048	-0.05891	
6	-0.995973	0.0991756	-0.0547716	
7	-0.999094	0.0997679	-0.0539462	
8	-0.999524	0.0988437	-0.0536352	
9	-0.999954	0.0991755	-0.0533243	
10	-0.999954	0.0991755	-0.0533243	
11	-0.999524	0.1001	-0.0536352	
12	-0.999954	0.0991755	-0.0533243	
13	-0.999524	0.1001	-0.0536352	
14	-0.999524	0.1001	-0.0536352	
15	-0.999954	0.0991755	-0.0533243	
16	-0.999954	0.0991755	-0.0533243	
17	-0.999954	0.0991755	-0.0533243	
18	-0.999954	0.0991755	-0.0533243	
19	-0.999524	0.1001	-0.0536352	
