0	0.405	0.00185908	0.00545051	-0.118214	0.0506864	0.0345535	-0.005	-0.0372324	0.0922118	-0.005	-0.0232371	-0.00726827	-0.005	0.0621514	-0.0251577	-0.0648604	0.0159064	0.0383378	-0.0325736	0.0312028	0.0654566	0.115946	0.00230837	-0.0584971	-0.031614	0.0136623	0.0363827	-0.0111319	0.0832771	-0.00977535	0.0268431	0.0239984	0.0941376	-0.0741297	-0.0468749	-0.0125129	0.029798	
1	0.79	0.0273339	0.000400116	-0.0432875	0.0156035	-0.030403	-0.03	-0.0325376	0.0769558	0.06	0.0216347	-0.0120301	-0.04	-0.0132268	-0.0510755	-0.0492444	0.000800216	0.0028137	0.0429299	-0.00362914	0.0704069	0.0808323	-0.0224809	0.0464568	-0.0264327	0.0888801	0.0812733	0.00400253	0.0879718	-0.0248007	-0.0384613	0.0688979	0.0792315	0.000800257	-0.0216346	-0.0272825	0.0141415	
2	0.905	0.0729072	0.0353534	-0.0685635	0.0105274	-0.0453546	-0.025	-0.0278427	0.0416594	0.045	-0.00360566	0.00325817	-0.075	-0.0284827	-0.0465912	-0.00335525	0.00570209	-0.0126119	0.0482209	0.0220286	0.0453544	0.0857343	-0.0271978	0.0112387	0.0187978	0.0740167	0.156191	-0.0409006	0.0524969	0.0301757	-0.0136217	0.0835789	0.0543217	-0.00430173	-0.00641025	-0.0621129	0.0186869	
3	0.98	0.0588885	0.020202	-0.07425	0.00530118	-0.0802082	-0.01	0.00632665	0.0760541	0.06	0.0308494	-0.00100249	-0.09	-0.0441893	-0.0432723	0.0132193	-0.00960406	-0.0186917	0.0139422	0.0385121	0.040204	0.0604241	-0.0212765	0.0157192	0.0343418	0.0694626	0.140727	-0.0455284	0.0766238	0.045101	-0.0292467	0.0671855	0.0296118	0.000400068	-0.0108173	-0.0863612	0.0121212	
4	0.99	0.0696412	0.020102	-0.074701	0.0151534	-0.0801082	0	0.0157163	0.0756031	0.06	0.0204327	-0.0105263	-0.08	-0.0446401	-0.0444377	0.0242691	-0.00980417	-0.0193951	0.0144938	0.0293378	0.030103	0.05022	-0.0307105	0.0153687	0.0346922	0.0597539	0.140427	-0.0552845	0.0659286	0.045051	-0.0196314	0.0764021	0.0298119	0.010204	-0.0104166	-0.0958399	0.00101011	
5	1	0.0602954	0.010001	-0.0751519	0.0250056	-0.0900093	0	0.025106	0.0751523	0.07	0.0200321	1.28471e-08	-0.07	-0.0350708	-0.0456031	0.0151366	-0.0100042	-0.0200986	0.0150455	0.0201635	0.0300031	0.0400158	-0.0301084	0.0150183	0.0350427	0.0600542	0.140126	-0.0550344	0.0652758	0.0350008	-0.010016	0.0755459	0.0300119	0.010004	-0.010016	-0.105319	1.56537e-08	
6	1	0.0602954	0.010001	-0.0751519	0.0250056	-0.0900093	0	0.025106	0.0751523	0.07	0.0200321	1.28471e-08	-0.07	-0.0350708	-0.0456031	0.0151366	-0.0100042	-0.0200986	0.0150455	0.0201635	0.0300031	0.0400158	-0.0301084	0.0150183	0.0350427	0.0600542	0.140126	-0.0550344	0.0652758	0.0350008	-0.010016	0.0755459	0.0300119	0.010004	-0.010016	-0.105319	1.56537e-08	
7	1	0.0602954	0.010001	-0.0751519	0.0250056	-0.0900093	0	0.025106	0.0751523	0.07	0.0200321	1.28471e-08	-0.07	-0.0350708	-0.0456031	0.0151366	-0.0100042	-0.0200986	0.0150455	0.0201635	0.0300031	0.0400158	-0.0301084	0.0150183	0.0350427	0.0600542	0.140126	-0.0550344	0.0652758	0.0350008	-0.010016	0.0755459	0.0300119	0.010004	-0.010016	-0.105319	1.56537e-08	
8	1	0.0602954	0.010001	-0.0751519	0.0250056	-0.0900093	0	0.025106	0.0751523	0.07	0.0200321	1.28471e-08	-0.07	-0.0350708	-0.0456031	0.0151366	-0.0100042	-0.0200986	0.0150455	0.0201635	0.0300031	0.0400158	-0.0301084	0.0150183	0.0350427	0.0600542	0.140126	-0.0550344	0.0652758	0.0350008	-0.010016	0.0755459	0.0300119	0.010004	-0.010016	-0.105319	1.56537e-08	
9	1	0.0602954	0.010001	-0.0751519	0.0250056	-0.0900093	0	0.025106	0.0751523	0.07	0.0200321	1.28471e-08	-0.07	-0.0350708	-0.0456031	0.0151366	-0.0100042	-0.0200986	0.0150455	0.0201635	0.0300031	0.0400158	-0.0301084	0.0150183	0.0350427	0.0600542	0.140126	-0.0550344	0.0652758	0.0350008	-0.010016	0.0755459	0.0300119	0.010004	-0.010016	-0.105319	1.56537e-08	
10	1	0.0602954	0.010001	-0.0751519	0.0250056	-0.0900093	0	0.025106	0.0751523	0.07	0.0200321	1.28471e-08	-0.07	-0.0350708	-0.0456031	0.0151366	-0.0100042	-0.0200986	0.0150455	0.0201635	0.0300031	0.0400158	-0.0301084	0.0150183	0.0350427	0.0600542	0.140126	-0.0550344	0.0652758	0.0350008	-0.010016	0.0755459	0.0300119	0.010004	-0.010016	-0.105319	1.56537e-08	
11	0.995	0.0649683	0.00505055	-0.0799366	0.0200795	-0.0950598	-0.005	0.0304536	0.0703676	0.075	0.0252405	0.00476192	-0.075	-0.0298353	-0.0500874	0.0197028	-0.00490211	-0.0147222	0.00975449	0.014669	0.0250526	0.0451179	-0.0354275	0.0101874	0.0398736	0.0548995	0.135272	-0.0601626	0.060581	0.0300257	-0.00480766	0.0810104	0.0349139	0.015106	-0.0152244	-0.11061	0.00555556	
12	1	0.0602954	0.010001	-0.0751519	0.0250056	-0.0900093	0	0.025106	0.0751523	0.07	0.0200321	1.28471e-08	-0.07	-0.0350708	-0.0456031	0.0151366	-0.0100042	-0.0200986	0.0150455	0.0201635	0.0300031	0.0400158	-0.0301084	0.0150183	0.0350427	0.0600542	0.140126	-0.0550344	0.0652758	0.0350008	-0.010016	0.0755459	0.0300119	0.010004	-0.010016	-0.105319	1.56537e-08	
13	1	0.0602954	0.010001	-0.0751519	0.0250056	-0.0900093	0	0.025106	0.0751523	0.07	0.0200321	1.28471e-08	-0.07	-0.0350708	-0.0456031	0.0151366	-0.0100042	-0.0200986	0.0150455	0.0201635	0.0300031	0.0400158	-0.0301084	0.0150183	0.0350427	0.0600542	0.140126	-0.0550344	0.0652758	0.0350008	-0.010016	0.0755459	0.0300119	0.010004	-0.010016	-0.105319	1.56537e-08	
14	1	0.0602954	0.010001	-0.0751519	0.0250056	-0.0900093	0	0.025106	0.0751523	0.07	0.0200321	1.28471e-08	-0.07	-0.0350708	-0.0456031	0.0151366	-0.0100042	-0.0200986	0.0150455	0.0201635	0.0300031	0.0400158	-0.0301084	0.0150183	0.0350427	0.0600542	0.140126	-0.0550344	0.0652758	0.0350008	-0.010016	0.0755459	0.0300119	0.010004	-0.010016	-0.105319	1.56537e-08	
